答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
12,223.104.165.133,,,,,,,,,2021-06-30 10:17:09,2021-06-30 10:19:57,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,9.0,8.0,8.0,1,2,2,3,3,3,3,4,4,6,5,6,6,6,6,5,无,无,4,,无,无,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
13,112.17.240.168,,,,,,,,,2021-06-30 11:13:21,2021-06-30 11:15:00,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,10.0,10.0,2,1,1,1,1,3,1,2,4,7,6,7,7,6,7,7,无,无,3,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,5,7,6,6,6,6,无
14,223.104.246.72,,,,,,,,,2021-06-30 11:16:24,2021-06-30 11:21:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,8.0,6.0,3,2,4,4,3,4,7,4,4,7,7,7,6,7,7,7,无,无,3,,15,1,6,6,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,4,7,7,4,7,7,无
15,223.104.165.208,,,,,,,,,2021-06-30 11:21:16,2021-06-30 11:26:00,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,3,1,2,3,1,3,3,3,4,6,6,6,6,6,6,6,无,无,3,,10,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
16,223.104.165.134,,,,,,,,,2021-06-30 11:28:14,2021-06-30 11:31:05,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,9.0,9.0,3,3,2,3,2,2,6,4,4,6,7,7,5,6,6,5,没有,还行,7,,50,80,6,7,6,6,6,6,7,5,5,5,5,6,6,6,6,6,7,5,6,4,6,7,5,6,6,形式主义
17,112.10.200.119,,,,,,,,,2021-06-30 11:34:07,2021-06-30 11:35:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,2,2,2,3,3,1,5,7,7,7,6,5,7,无,无,4,,5,5,6,5,5,5,5,6,5,5,5,5,7,6,6,6,6,6,7,6,6,5,7,6,6,6,6,无
18,112.10.92.252,,,,,,,,,2021-06-30 11:33:06,2021-06-30 11:35:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,5.0,3,3,2,4,2,4,3,4,4,6,6,6,6,6,6,6,无,无,4,,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,7,5,5,5,无
19,124.160.214.54,,,,,,,,,2021-06-30 11:33:58,2021-06-30 11:35:57,Unknown Browser,iPhone iOS 14.0,1,,,,,,,9.0,7.0,8.0,1,1,2,1,2,1,3,3,3,7,7,7,6,7,7,7,无,无,6,,30,30,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,6,6,6,6,6,6,无
20,112.17.236.202,,,,,,,,,2021-06-30 11:31:49,2021-06-30 11:36:59,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,8.0,8.0,3,1,2,1,2,1,2,2,4,6,6,6,6,6,6,5,无,无,4,,5,2,5,5,5,5,6,5,5,5,6,5,5,5,6,6,6,7,7,7,7,5,6,6,5,6,6,无
21,223.104.246.193,,,,,,,,,2021-06-30 11:34:03,2021-06-30 11:37:34,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,4,1,1,2,1,6,1,4,7,7,7,7,7,7,7,无,无,5,,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,3,7,7,无
22,223.104.159.146,,,,,,,,,2021-06-30 11:34:31,2021-06-30 11:37:35,Chrome 77.0.3865.120,Android Linux 8.0.0,1,,,,,,,10.0,10.0,10.0,1,1,2,4,3,4,3,3,3,6,6,6,6,6,6,6,无,无,4,,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,5,6,无
23,223.104.165.160,,,,,,,,,2021-06-30 11:35:57,2021-06-30 11:37:37,Unknown Browser,iPhone iOS 14.6,1,,,,,,,9.0,9.0,8.0,1,1,2,2,1,2,3,4,4,5,7,7,7,7,7,7,无,无,5,,20,20,4,4,5,6,6,5,6,6,5,5,5,6,6,6,5,6,5,5,6,6,6,7,6,6,6,无
24,112.17.238.129,,,,,,,,,2021-06-30 11:33:28,2021-06-30 11:37:56,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,7.0,7.0,1,1,2,1,1,3,2,2,4,6,5,6,6,6,6,6,要加强学习知识,更加了解了国家政治,4,,5,12,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,减少在线学习时间
25,223.104.244.35,,,,,,,,,2021-06-30 11:32:20,2021-06-30 11:38:01,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,3,3,6,3,3,7,7,7,7,7,7,7,无,无,4,,不知道,不知道,3,3,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,6,6,无
26,223.104.165.242,,,,,,,,,2021-06-30 11:32:01,2021-06-30 11:38:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,1,2,1,2,4,3,3,3,7,7,7,7,7,7,7,很好,无,4,,8,0,5,4,4,6,3,4,7,5,6,6,6,3,3,3,4,5,5,5,5,6,7,5,5,6,5,无
27,223.104.165.139,,,,,,,,,2021-06-30 11:35:23,2021-06-30 11:38:34,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,3,1,1,2,3,3,2,6,6,6,6,6,6,6,无,无,3,,30,30,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
28,211.138.116.152,,,,,,,,,2021-06-30 11:36:28,2021-06-30 11:38:39,Unknown Browser,iPhone iOS 14.0.1,1,,,,,,,9.0,9.0,9.0,1,1,2,4,3,3,3,3,4,5,5,5,6,6,7,6,无,无,3,,10,50,6,6,6,6,6,7,6,6,6,6,7,6,6,7,7,6,7,7,7,4,6,6,6,6,6,无
29,112.17.240.232,,,,,,,,,2021-06-30 11:32:40,2021-06-30 11:38:52,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,1,2,1,2,1,3,4,4,7,7,7,7,7,7,7,好,还算有意思,4,,21,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,非常好
30,112.17.238.15,,,,,,,,,2021-06-30 11:37:19,2021-06-30 11:38:55,Unknown Browser,iPhone iOS 14.5,1,,,,,,,7.0,6.0,6.0,1,1,3,2,3,4,3,1,1,5,5,6,6,7,6,6,无,无,5,,10,100,7,5,5,6,4,5,5,4,4,4,4,5,4,5,4,6,7,6,6,5,6,6,6,6,5,无
31,223.104.165.151,,,,,,,,,2021-06-30 11:34:30,2021-06-30 11:39:07,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,5.0,10.0,1,3,2,1,2,4,7,4,3,6,7,7,6,6,6,6,好,好,4,,20,30,7,6,5,5,6,6,5,7,7,6,7,7,6,6,6,7,7,7,7,6,7,7,5,7,7,好
32,112.17.247.215,,,,,,,,,2021-06-30 11:35:35,2021-06-30 11:39:54,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,10.0,10.0,3,1,1,1,2,1,7,4,4,6,7,7,7,7,7,6,挺好的,希望老师能结合时事,5,,30,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,6,7,7,不错
33,112.17.247.88,,,,,,,,,2021-06-30 11:32:14,2021-06-30 11:40:07,Unknown Browser,iPhone iOS 13.5.1,1,,,,,,,8.0,5.0,9.0,1,3,3,1,2,1,3,4,4,6,6,6,6,6,6,6,让我们认识到了党,有点枯燥，但也能接受,7,,25,20,5,5,5,5,6,5,5,5,6,6,6,5,6,6,5,6,5,5,5,5,7,7,5,5,5,接下来可以继续采用
34,223.104.160.84,,,,,,,,,2021-06-30 11:34:22,2021-06-30 11:40:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,3.0,4.0,3,1,3,1,4,3,3,2,2,5,6,6,6,6,6,6,没有看法,结合时事会生动很多,5,,3,1,4,4,4,3,4,4,5,4,5,4,4,4,4,3,5,4,4,4,4,4,6,7,5,5,4,没有想法
35,223.104.247.60,,,,,,,,,2021-06-30 11:35:30,2021-06-30 11:41:08,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,8.0,3,3,2,1,2,2,7,4,3,7,7,7,7,7,7,7,无,无,4,,6,6,6,6,6,6,6,5,5,6,6,5,5,6,6,7,6,6,7,7,6,4,7,7,6,6,6,无
36,36.28.173.17,,,,,,,,,2021-06-30 11:39:09,2021-06-30 11:41:13,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,4,3,3,4,7,4,4,7,7,7,7,7,7,7,无,好,3,,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
37,112.17.247.158,,,,,,,,,2021-06-30 11:32:47,2021-06-30 11:41:37,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,1,2,1,2,4,3,3,2,5,5,4,4,5,5,4,没啥看法，我爱祖国，继续加油,挺热血的，就是有点无聊，爱国的人不看也爱，不爱国的，看了也不爱,3,,20,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,6,5,7,3,5,5,刷课真的很烦，要么就线下课要么就线上课，又是线上又是线下的真的没必要
38,124.160.214.93,,,,,,,,,2021-06-30 11:35:37,2021-06-30 11:41:44,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,9.0,10.0,9.0,3,1,3,1,4,3,6,3,3,6,7,7,6,7,6,7,ppt文字太紧凑,希望与时事结合,7,,3-4,3-4,5,5,5,5,5,5,6,6,6,5,5,5,5,5,6,6,6,5,6,5,7,7,6,6,6,无
39,223.104.160.52,,,,,,,,,2021-06-30 11:38:50,2021-06-30 11:42:20,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,7.0,7.0,7.0,1,3,2,1,2,4,3,2,4,6,7,7,6,6,6,6,很好,很好,4,,10,10,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,5,6,6,无
40,223.104.244.10,,,,,,,,,2021-06-30 11:34:05,2021-06-30 11:42:29,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,9.0,7.0,8.0,1,3,2,1,2,4,6,4,4,6,6,6,6,6,6,6,没有,没有,4,,16,12,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,没有
41,36.28.3.105,,,,,,,,,2021-06-30 11:34:18,2021-06-30 11:42:59,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,1,3,6,4,4,7,7,7,7,7,7,7,好,好,5,,20.5,不知,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,4,6,6,无
42,223.104.244.72,,,,,,,,,2021-06-30 11:41:03,2021-06-30 11:44:14,Unknown Browser,iPhone iOS 14.6,1,,,,,,,9.0,9.0,9.0,1,3,2,1,2,4,3,4,4,6,6,6,6,6,6,6,无,无,4,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
43,223.104.160.53,,,,,,,,,2021-06-30 11:39:41,2021-06-30 11:44:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,5.0,1,1,2,1,2,4,6,2,2,5,5,6,5,5,5,5,可以举行线下课程,加强课程的活跃度,4,,10,15,5,5,5,5,5,5,5,5,6,6,6,5,4,5,4,5,5,6,6,5,5,5,4,5,4,减少课件分数的占比，加强回答问题作业的占比
44,223.104.244.136,,,,,,,,,2021-06-30 11:42:29,2021-06-30 11:44:48,Unknown Browser,iPhone iOS 14.2,1,,,,,,,10.0,10.0,10.0,1,1,3,1,4,4,7,4,4,7,7,7,7,7,7,7,非常激发精神,非常好,3,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,挺好的
45,112.10.200.65,,,,,,,,,2021-06-30 11:36:33,2021-06-30 11:44:51,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,7.0,8.0,1,1,1,3,2,3,6,3,3,6,6,7,5,5,4,5,无,无,4,,20,10,5,4,5,4,3,5,7,5,7,4,5,5,5,5,6,5,5,5,6,6,6,6,4,4,5,无
46,223.104.244.137,,,,,,,,,2021-06-30 11:41:55,2021-06-30 11:45:10,Unknown Browser,iPhone iOS 14.2,1,,,,,,,10.0,10.0,10.0,1,3,2,4,3,2,6,3,2,5,6,6,6,6,6,6,很好,很好,3,,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,5,6,6,没有
47,223.104.165.205,,,,,,,,,2021-06-30 11:42:11,2021-06-30 11:45:46,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,3,1,2,1,3,1,3,3,3,6,7,7,6,5,7,6,无,无,4,,5,10,5,5,5,5,5,5,6,6,7,5,5,5,5,5,6,5,5,5,5,5,7,7,5,5,5,无
48,124.160.213.197,,,,,,,,,2021-06-30 11:42:04,2021-06-30 11:47:33,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,5.0,5.0,5.0,1,1,2,1,2,1,3,3,2,5,5,5,5,5,5,5,无无,无,6,,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
49,112.10.92.0,,,,,,,,,2021-06-30 11:45:56,2021-06-30 11:47:56,Unknown Browser,iPhone iOS 13.3.1,1,,,,,,,8.0,7.0,8.0,1,1,2,3,2,2,2,4,3,7,7,7,7,7,7,7,无,无,4,,5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,6,7,7,无
50,112.17.236.158,,,,,,,,,2021-06-30 11:48:35,2021-06-30 11:51:08,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,1,2,1,2,4,6,3,2,6,6,6,6,6,6,6,好,好,4,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,5,6,5,无
51,223.104.165.152,,,,,,,,,2021-06-30 11:43:10,2021-06-30 11:51:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,4,3,4,4,7,7,7,7,7,7,7,无,无,4,,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,7,6,无
52,124.160.217.139,,,,,,,,,2021-06-30 11:43:14,2021-06-30 11:51:27,Unknown Browser,iPhone iOS 14.6,1,,,,,,,5.0,5.0,5.0,1,3,2,1,1,3,3,3,4,7,7,7,7,7,6,6,无,祖国是最棒的,4,,24,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,5,5,考勤
