答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意？你不必说具体哪个，请告诉我您满意的主体数量（0-4）即可：钟南山院士高等院校非政府组织中央政府,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士国务院新闻发布会,Q13_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士纽约时报,Q14_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q14_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q14_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q14_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q14_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q15_请问你对上述视频有什么看法：,Q16_请问你对你平时上的思想政治课有什么看法：,Q17_你所在学校组织网课的最常见形式是什么？,Q17_你所在学校组织网课的最常见形式是什么？_开放选项,Q18_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q19_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q22_你上思想政治课的班级规模：,Q23_你对中央政府的工作有多满意？,Q24_你相信国务院新闻发布会发布的信息么？,Q25_你相信纽约时报发布的信息么？,Q26_你对老师在线授课的适应程度如何？,Q27_你对自己在线自主学习的适应程度如何？,Q28_你对学校组织的在线学习，有什么建议？
14,223.104.159.254,,,,,,,,,2021-06-30 11:08:51,2021-06-30 11:12:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,2,1,2,4,6,5,5,5,7,7,7,7,7,7,7,很好,很好,3,,16,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,6,5,无
15,211.138.116.170,,,,,,,,,2021-06-30 11:21:36,2021-06-30 11:23:55,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,8.0,7.0,1,3,3,1,2,2,6,5,5,5,7,7,7,7,7,7,7,好,好,4,,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,5,6,6,好
16,223.104.244.20,,,,,,,,,2021-06-30 11:27:23,2021-06-30 11:29:48,Unknown Browser,iPhone iOS 14.1,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,4,6,5,5,5,7,7,7,7,7,7,7,无,无,3,,60,110,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,无
17,36.18.39.160,,,,,,,,,2021-06-30 11:25:36,2021-06-30 11:32:01,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,4,6,5,5,3,7,7,7,7,7,7,7,可以试着加点时政例子,可以再加些时事政治作为例子,7,,2,6,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,6,6,6,6,5,7,7,4,6,6,可以试着沿用部分人在现场其他同学看直播的方式组织学习
18,223.104.165.189,,,,,,,,,2021-06-30 11:31:57,2021-06-30 11:34:39,Unknown Browser,iPhone iOS 14.6,1,,,,,,,7.0,6.0,7.0,1,1,1,1,4,2,6,4,5,5,6,6,6,6,6,6,6,好,好,3,,20,4,6,6,5,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,5,好
19,223.104.247.135,,,,,,,,,2021-06-30 11:33:10,2021-06-30 11:37:10,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,1,2,1,2,4,3,5,5,3,6,6,6,6,6,6,6,没,没,4,,3,3,5,5,5,6,6,5,5,6,6,5,5,6,6,6,6,5,6,6,6,5,6,7,6,5,5,没
20,112.17.236.160,,,,,,,,,2021-06-30 11:32:17,2021-06-30 11:37:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,1,1,3,3,3,5,5,4,7,7,7,7,7,7,7,我不配有看法,无,4,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
21,112.17.247.43,,,,,,,,,2021-06-30 11:34:32,2021-06-30 11:37:32,Unknown Browser,iPhone iOS 14.6,1,,,,,,,6.0,6.0,6.0,1,3,2,1,1,3,3,5,5,5,6,6,6,7,6,6,6,无,无,3,,30,12,5,5,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5,5,4,6,6,6,6,6,无
22,124.160.214.34,,,,,,,,,2021-06-30 11:33:33,2021-06-30 11:37:34,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,7.0,7.0,8.0,1,3,3,1,2,1,3,3,3,3,6,6,6,6,6,6,6,无,无,4,,20,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,无
23,124.160.215.170,,,,,,,,,2021-06-30 11:33:17,2021-06-30 11:37:38,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,4.0,4.0,4.0,1,1,2,1,3,2,3,3,3,3,5,4,6,6,6,5,5,背景太过简朴,太枯燥,4,,6,24,7,6,6,6,6,6,6,6,6,6,6,5,7,7,6,6,6,6,6,5,5,5,5,5,5,挺好的
24,112.10.201.85,,,,,,,,,2021-06-30 11:34:28,2021-06-30 11:37:39,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,3,1,3,2,6,3,3,3,6,6,6,6,7,7,6,非常好,非常好,5,,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,6,7,7,7,五
25,223.104.160.80,,,,,,,,,2021-06-30 11:34:56,2021-06-30 11:37:45,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,1,1,3,4,3,4,4,3,6,6,6,6,6,6,5,好,好,4,,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,继续努力
26,36.28.153.108,,,,,,,,,2021-06-30 11:35:06,2021-06-30 11:37:58,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,7.0,7.0,7.0,2,1,2,1,2,3,3,4,4,4,6,6,6,6,6,6,6,好,好,3,,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,没有
27,112.17.247.134,,,,,,,,,2021-06-30 11:30:46,2021-06-30 11:38:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,2,1,2,4,3,4,5,1,7,7,7,7,7,7,7,挺好的,增加的知识面，挺好的,4,,25,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,7,7,5,在线学习
28,223.104.165.192,,,,,,,,,2021-06-30 11:32:29,2021-06-30 11:38:13,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,1,1,3,2,3,5,5,5,7,7,7,7,7,7,6,无,无,4,,不知道,不知道,5,5,5,5,5,5,5,5,5,5,5,5,7,6,5,5,5,5,5,6,7,7,6,6,6,无
29,223.104.244.252,,,,,,,,,2021-06-30 11:35:21,2021-06-30 11:38:29,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,5.0,5.0,1,3,3,1,3,3,3,5,4,4,6,6,6,6,6,6,6,没什么看法,没什么看法,5,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,4,6,7,5,6,6,没什么
30,223.104.244.172,,,,,,,,,2021-06-30 11:35:35,2021-06-30 11:39:51,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,5.0,5.0,6.0,1,1,1,1,2,4,3,5,5,5,5,5,5,5,5,5,5,无,无,7,,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,6,5,5,5,无
31,112.17.245.10,,,,,,,,,2021-06-30 11:36:42,2021-06-30 11:40:01,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,3,3,1,3,1,7,5,5,5,7,7,7,7,7,7,7,无,无,5,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
32,36.28.99.53,,,,,,,,,2021-06-30 11:37:53,2021-06-30 11:40:14,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,2,7,4,4,3,7,7,7,7,7,7,7,无,无,3,,8,34,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,6,6,6,6,4,6,7,6,6,6,无
33,112.17.236.124,,,,,,,,,2021-06-30 11:32:31,2021-06-30 11:40:24,Unknown Browser,iPhone iOS 13.6.1,1,,,,,,,6.0,5.0,5.0,3,1,2,1,2,3,3,4,3,4,5,6,6,6,6,6,5,无,无,3,,15.75,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
34,112.10.93.240,,,,,,,,,2021-06-30 11:36:05,2021-06-30 11:40:28,Unknown Browser,iPhone iOS 14.6,1,,,,,,,1.0,9.0,2.0,2,3,2,3,4,4,1,1,5,5,6,7,7,6,5,5,4,讲课方式太无聊了,老师还不错,7,,30,10,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,7,7,考试机会多一点
35,124.160.214.207,,,,,,,,,2021-06-30 11:36:23,2021-06-30 11:41:06,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,3.0,10.0,1,3,2,1,2,4,6,5,5,4,7,7,7,7,7,7,7,好,好,4,,20,20,6,6,6,6,6,6,5,6,6,4,6,6,6,6,6,6,6,7,6,6,3,7,7,7,7,好
36,36.28.212.210,,,,,,,,,2021-06-30 11:36:08,2021-06-30 11:41:55,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,5.0,5.0,5.0,3,3,2,1,2,4,3,5,5,5,7,7,7,7,7,7,7,好,好,4,,28.5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,好
37,223.104.165.180,,,,,,,,,2021-06-30 11:37:17,2021-06-30 11:42:10,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,3,1,5,3,4,6,7,7,6,7,7,7,国家富强 人民幸福,让我们更加珍惜眼前的美好生活 ,7,,16,3,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,4,7,7,5,6,6,可以更加形象的讲述
38,124.160.220.179,,,,,,,,,2021-06-30 11:38:24,2021-06-30 11:42:32,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,7.0,7.0,3,3,2,3,1,4,3,4,4,4,7,7,7,7,7,7,7,无,无,5,,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,5,5,无
39,223.104.246.74,,,,,,,,,2021-06-30 11:33:28,2021-06-30 11:42:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,2,4,7,4,3,3,7,7,7,7,7,7,7,无,挺好的,3,,15,9,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,6,7,无
40,223.104.244.233,,,,,,,,,2021-06-30 11:41:21,2021-06-30 11:42:37,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,8.0,6.0,1,1,2,3,4,2,3,3,3,4,5,5,5,5,5,5,5,好,好,5,,24,24,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,5,6,6,6,5,6,6,6,6,6,好
41,112.17.236.118,,,,,,,,,2021-06-30 11:34:49,2021-06-30 11:43:10,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,5.0,8.0,3,3,2,1,2,4,7,5,4,3,7,7,7,6,6,6,6,讲的好,老师可以多结合学生所学的专业技能进行讲解,4,,16,12,5,5,4,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,7,7,6,6,6,多增加和学生的互动
42,223.104.244.52,,,,,,,,,2021-06-30 11:36:41,2021-06-30 11:43:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,6.0,6.0,1,1,2,1,2,3,6,3,3,2,6,7,7,7,7,7,7,无,无,3,,108,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5,5,5,无
43,112.17.245.91,,,,,,,,,2021-06-30 11:33:44,2021-06-30 11:44:52,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,6.0,7.0,3,1,3,1,2,4,3,3,3,2,4,6,6,5,5,5,5,无,还行，但是根本目的效果不明显,4,,2,5,5,5,5,5,3,4,6,4,6,5,5,5,5,5,6,5,4,5,5,6,4,6,3,6,6,无
44,112.17.236.71,,,,,,,,,2021-06-30 11:42:02,2021-06-30 11:45:01,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,2,2,2,6,4,4,4,6,6,5,6,5,6,6,无,无,7,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,无
45,223.104.165.200,,,,,,,,,2021-06-30 11:41:34,2021-06-30 11:45:25,Unknown Browser,iPhone iOS 14.2,1,,,,,,,8.0,6.0,5.0,1,1,2,3,3,3,3,3,2,2,6,6,6,6,6,6,6,说得很好,可以更好地了解国家了解现状，很有意义,4,,30,20,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,无
46,112.17.247.5,,,,,,,,,2021-06-30 11:41:12,2021-06-30 11:46:19,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,7.0,8.0,1,1,3,1,3,2,6,5,4,3,5,7,7,6,5,6,6,我们要紧跟党的步伐,要认真上思想政治课，学好党的思想,4,,4,2,5,5,5,5,5,5,6,6,6,5,5,5,5,6,5,5,5,5,5,4,7,7,4,5,5,无
47,223.104.165.138,,,,,,,,,2021-06-30 11:41:52,2021-06-30 11:47:15,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,1,2,1,4,1,3,3,4,2,6,6,6,6,4,4,5,很难理解视频内容,对思想成长有有帮助,7,,3,1,5,6,5,6,5,6,6,5,5,6,6,5,6,6,5,5,5,5,5,5,6,7,4,6,5,可以更加严谨仔细一些
48,223.104.247.226,,,,,,,,,2021-06-30 11:44:17,2021-06-30 11:47:16,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,1,2,3,3,4,4,7,7,7,7,7,7,7,国家强大,国家强大,4,,30,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,6,6,6,无
49,223.104.244.55,,,,,,,,,2021-06-30 11:45:13,2021-06-30 11:47:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,6.0,1,1,1,1,3,4,3,3,3,1,6,6,6,6,6,6,6,1,1,7,,30,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,6,1
50,124.160.213.243,,,,,,,,,2021-06-30 11:46:44,2021-06-30 11:48:34,Unknown Browser,iPhone iOS 14.6,1,,,,,,,5.0,5.0,5.0,2,1,1,1,4,3,3,2,3,3,5,5,6,5,5,5,5,无,无,3,,24,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
